"Project Number","Package Number","Area/ WBS No.","Discipline","Document Type","Sequential Number","Revision","Document Number","Sht. %23 of %23","Area / Facility","Major Description","Broad Type","Full Title","Due Date","IFR Transmittal Date","IFC/IFU Transmittal Date","PPE Doc Status","% Complete","As Built Required (Y/N)","Certified Final Required (Y/N)","Tag Number (if any)","Comments","RDMC Document Number","PPE Doc Number","Rev A Transmittal Date","Rev 0 Transmittal Date","Aconex Doc Status","Aconex Review Status","Doc Owner","Main Group","Sub Group","BH","Drawing Pack","SourceSite","SourceFile","SourceTable","ImportBatchID","RowKey","ImportedOn","ImportVersion","Modified","FileLink","DocKey"
"6105A","K125","0","H","PLN","1","A","6105AK125-0000-H-PLN-0001",,"General","EHS","Plan","General - EHS - Plan","4/15/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-h-pln-0001_a"
"6105A","K125","0","Q","PLN","1","A","6105AK125-0000-Q-PLN-0001",,"General","Quality","Quality","General - Quality - Quality","3/31/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-q-pln-0001_a"
"6105A","K125","0","G","RPT","1","A","6105AK125-0000-G-RPT-0001",,"General","Monthly Progress","Report","General - Monthly Progress - Report",,,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-g-rpt-0001_a"
"6105A","K125","0","G","DDR","2","A","6105AK125-0000-G-DDR-0002",,"General","Document Control ","Document and Data Register","General - Document Control  - Document and Data Register",,,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-g-ddr-0002_a"
"6105A","K125","0","C","MAN","1","A","6105AK125-0000-C-MAN-0001",,"General","Civil Contractor","Mannual","General - Civil Contractor - Mannual",,,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-c-man-0001_a"
"6105A","K125","0","E","MAN","1","A","6105AK125-0000-E-MAN-0001",,"General","ETC Contractor","Mannual","General - ETC Contractor - Mannual",,,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-0000-e-man-0001_a"
"6105A","K125","6,242","E","SLD","1","A","6105AK125-6242-E-SLD-0001","Sht. 1 of 1","33/220 kV Power Station Substation","Overall","Single Line Diagram","33/220 kV Power Station Substation - Overall - Single Line Diagram","2/4/2026 12:00 AM","2/10/2026 12:00 AM",,,"33%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-sld-0001_a"
"6105A","K125","6,242","E","LAY","1","A","6105AK125-6242-E-LAY-0001",,"33/220 kV Power Station Substation","Equipment","Layout","33/220 kV Power Station Substation - Equipment - Layout","4/30/2026 12:00 AM","2/13/2026 12:00 AM",,,"33%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0001_a"
"6105A","K125","6,242","E","LAY","2","A","6105AK125-6242-E-LAY-0002",,"33/220 kV Power Station Substation","E-House","Layout","33/220 kV Power Station Substation - E-House - Layout","6/11/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0002_a"
"6105A","K125","6,242","E","LAY","3","A","6105AK125-6242-E-LAY-0003",,"33/220 kV Power Station Substation","Foundation and Trench","Layout","33/220 kV Power Station Substation - Foundation and Trench - Layout","6/17/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0003_a"
"6105A","K125","6,242","E","LAY","4","A","6105AK125-6242-E-LAY-0004",,"33/220 kV Power Station Substation","Cable Tray","Layout","33/220 kV Power Station Substation - Cable Tray - Layout","7/29/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0004_a"
"6105A","K125","6,242","E","LAY","5","A","6105AK125-6242-E-LAY-0005",,"33/220 kV Power Station Substation","Buried Earthing","Layout","33/220 kV Power Station Substation - Buried Earthing - Layout","8/5/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0005_a"
"6105A","K125","6,242","E","LAY","6","A","6105AK125-6242-E-LAY-0006",,"33/220 kV Power Station Substation","Indoor Earthing","Layout","33/220 kV Power Station Substation - Indoor Earthing - Layout","9/10/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0006_a"
"6105A","K125","6,242","E","LAY","7","A","6105AK125-6242-E-LAY-0007",,"33/220 kV Power Station Substation","Lightning Protection","Layout","33/220 kV Power Station Substation - Lightning Protection - Layout","9/17/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0007_a"
"6105A","K125","6,242","E","CAL","1","A","6105AK125-6242-E-CAL-0001",,"33/220 kV Power Station Substation","Earthing Design","Calculation","33/220 kV Power Station Substation - Earthing Design - Calculation","8/5/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-cal-0001_a"
"6105A","K125","6,242","E","CAL","2","A","6105AK125-6242-E-CAL-0002",,"33/220 kV Power Station Substation","Lightning Protection","Calculation","33/220 kV Power Station Substation - Lightning Protection - Calculation","9/17/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-cal-0002_a"
"6105A","K125","6,242","E","CAL","3","A","6105AK125-6242-E-CAL-0003",,"33/220 kV Power Station Substation","LVAC Cable Sizing","Calculation","33/220 kV Power Station Substation - LVAC Cable Sizing - Calculation","7/13/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-cal-0003_a"
"6105A","K125","6,242","E","CAL","4","A","6105AK125-6242-E-CAL-0004",,"33/220 kV Power Station Substation","LVDC Cable Sizing","Calculation","33/220 kV Power Station Substation - LVDC Cable Sizing - Calculation","7/13/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-cal-0004_a"
"6105A","K125","6,242","E","CAL","5","A","6105AK125-6242-E-CAL-0005",,"33/220 kV Power Station Substation","MV Cable Sizing","Calculation","33/220 kV Power Station Substation - MV Cable Sizing - Calculation","6/12/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-cal-0005_a"
"6105A","K125","6,242","E","SLD","2","A","6105AK125-6242-E-SLD-0002",,"33/220 kV Power Station Substation","220kV Protection Concept","Single Line Diagram","33/220 kV Power Station Substation - 220kV Protection Concept - Single Line Diagram","4/7/2026 12:00 AM","2/16/2026 12:00 AM",,,"33%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-sld-0002_a"
"6105A","K125","6,242","E","LST","1","A","6105AK125-6242-E-LST-0001",,"33/220 kV Power Station Substation","220kV Relay ","List","33/220 kV Power Station Substation - 220kV Relay  - List","2/19/2026 12:00 AM","2/16/2026 12:00 AM",,,"33%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lst-0001_a"
"6105A","K125","6,242","E","CAL","6","A","6105AK125-6242-E-CAL-0006",,"33/220 kV Power Station Substation","220kV CT/VT Dimensioning","Calculation","33/220 kV Power Station Substation - 220kV CT/VT Dimensioning - Calculation","4/21/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-cal-0006_a"
"6105A","K125","6,242","E","DIA","1","A","6105AK125-6242-E-DIA-0001",,"33/220 kV Power Station Substation","220kV Protection Trip Logic ","Diagram","33/220 kV Power Station Substation - 220kV Protection Trip Logic  - Diagram","4/7/2026 12:00 AM","2/16/2026 12:00 AM",,,"33%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0001_a"
"6105A","K125","6,242","E","DIA","2","A","6105AK125-6242-E-DIA-0002",,"33/220 kV Power Station Substation","220kV Interlocking Logic","Diagram","33/220 kV Power Station Substation - 220kV Interlocking Logic - Diagram","6/12/2026 12:00 AM","2/16/2026 12:00 AM",,,"33%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0002_a"
"6105A","K125","6,242","E","SLD","3","A","6105AK125-6242-E-SLD-0003",,"33/220 kV Power Station Substation","LVAC System","Single Line Diagram","33/220 kV Power Station Substation - LVAC System - Single Line Diagram","6/12/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-sld-0003_a"
"6105A","K125","6,242","E","LST","2","A","6105AK125-6242-E-LST-0002",,"33/220 kV Power Station Substation","220kV Signal","List","33/220 kV Power Station Substation - 220kV Signal - List","4/9/2026 12:00 AM","2/16/2026 12:00 AM",,,"33%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lst-0002_a"
"6105A","K125","6,242","E","SLD","4","A","6105AK125-6242-E-SLD-0004",,"33/220 kV Power Station Substation","110V DC System","Single Line Diagram","33/220 kV Power Station Substation - 110V DC System - Single Line Diagram","6/12/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-sld-0004_a"
"6105A","K125","6,242","E","CAL","7","A","6105AK125-6242-E-CAL-0007",,"33/220 kV Power Station Substation","Battery Bank & Charger Sizing","Calculation","33/220 kV Power Station Substation - Battery Bank & Charger Sizing - Calculation","6/12/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-cal-0007_a"
"6105A","K125","6,242","E","DIA","3","A","6105AK125-6242-E-DIA-0003",,"33/220 kV Power Station Substation","220kV Transformer Control & Protection Panels","Diagram","33/220 kV Power Station Substation - 220kV Transformer Control & Protection Panels - Diagram","6/5/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0003_a"
"6105A","K125","6,242","E","DIA","4","A","6105AK125-6242-E-DIA-0004",,"33/220 kV Power Station Substation","220kV Line Control & Protection Panels","Diagram","33/220 kV Power Station Substation - 220kV Line Control & Protection Panels - Diagram","7/7/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0004_a"
"6105A","K125","6,242","E","DIA","5","A","6105AK125-6242-E-DIA-0005",,"33/220 kV Power Station Substation","220kV BusCoupler Control & Protection Panels","Diagram","33/220 kV Power Station Substation - 220kV BusCoupler Control & Protection Panels - Diagram","8/4/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0005_a"
"6105A","K125","6,242","E","DIA","6","A","6105AK125-6242-E-DIA-0006",,"33/220 kV Power Station Substation","220kV Trip Circuit Supervision Panels","Diagram","33/220 kV Power Station Substation - 220kV Trip Circuit Supervision Panels - Diagram","5/19/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0006_a"
"6105A","K125","6,242","E","DIA","7","A","6105AK125-6242-E-DIA-0007",,"33/220 kV Power Station Substation","220kV Busbar Protection Panels","Diagram","33/220 kV Power Station Substation - 220kV Busbar Protection Panels - Diagram","8/19/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0007_a"
"6105A","K125","6,242","E","DIA","8","A","6105AK125-6242-E-DIA-0008",,"33/220 kV Power Station Substation","220kV Common Control Panel","Diagram","33/220 kV Power Station Substation - 220kV Common Control Panel - Diagram","5/19/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0008_a"
"6105A","K125","6,242","E","DIA","9","A","6105AK125-6242-E-DIA-0009",,"33/220 kV Power Station Substation","Energy Metering Panels","Diagram","33/220 kV Power Station Substation - Energy Metering Panels - Diagram","8/19/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0009_a"
"6105A","K125","6,242","E","DIA","10","A","6105AK125-6242-E-DIA-0010",,"33/220 kV Power Station Substation","220kV Transformer LCC Panels","Diagram","33/220 kV Power Station Substation - 220kV Transformer LCC Panels - Diagram","6/5/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0010_a"
"6105A","K125","6,242","E","DIA","11","A","6105AK125-6242-E-DIA-0011",,"33/220 kV Power Station Substation","220kV Line LCC Panels","Diagram","33/220 kV Power Station Substation - 220kV Line LCC Panels - Diagram","7/7/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0011_a"
"6105A","K125","6,242","E","DIA","12","A","6105AK125-6242-E-DIA-0012",,"33/220 kV Power Station Substation","220kV BusCoupler LCCPanels","Diagram","33/220 kV Power Station Substation - 220kV BusCoupler LCCPanels - Diagram","8/4/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0012_a"
"6105A","K125","6,242","E","DIA","13","A","6105AK125-6242-E-DIA-0013",,"33/220 kV Power Station Substation","Network Switch Panel","Diagram","33/220 kV Power Station Substation - Network Switch Panel - Diagram","9/3/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0013_a"
"6105A","K125","6,242","E","CAL","8","A","6105AK125-6242-E-CAL-0008",,"33/220 kV Power Station Substation","220kV CT VT MK ","Calculation","33/220 kV Power Station Substation - 220kV CT VT MK  - Calculation","10/1/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-cal-0008_a"
"6105A","K125","6,242","E","CAL","9","A","6105AK125-6242-E-CAL-0009",,"33/220 kV Power Station Substation","220kV Relay Settings","Calculation","33/220 kV Power Station Substation - 220kV Relay Settings - Calculation",,,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-cal-0009_a"
"6105A","K125","6,242","E","DST","1","A","6105AK125-6242-E-DST-0001",,"33/220 kV Power Station Substation","Power Transformer Technical","Data Sheet","33/220 kV Power Station Substation - Power Transformer Technical - Data Sheet","2/10/2026 12:00 AM","2/12/2026 12:00 AM",,,"33%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dst-0001_a"
"6105A","K125","6,242","E","LAY","8","A","6105AK125-6242-E-LAY-0008",,"33/220 kV Power Station Substation","Power Transformer Dimensional","Layout","33/220 kV Power Station Substation - Power Transformer Dimensional - Layout","3/31/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0008_a"
"6105A","K125","6,242","E","ITP","1","A","6105AK125-6242-E-ITP-0001",,"33/220 kV Power Station Substation","Power Transformer Inspection and Test ","Plan","33/220 kV Power Station Substation - Power Transformer Inspection and Test  - Plan","11/1/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-itp-0001_a"
"6105A","K125","6,242","E","RPT","1","A","6105AK125-6242-E-RPT-0001",,"33/220 kV Power Station Substation","Power Transformer (Lot - 1) Factory Acceptance Test","Report","33/220 kV Power Station Substation - Power Transformer (Lot - 1) Factory Acceptance Test - Report","1/6/2027 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-rpt-0001_a"
"6105A","K125","6,242","E","RPT","2","A","6105AK125-6242-E-RPT-0002",,"33/220 kV Power Station Substation","Power Transformer (Lot - 2) Factory Acceptance Test","Report","33/220 kV Power Station Substation - Power Transformer (Lot - 2) Factory Acceptance Test - Report","3/8/2027 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-rpt-0002_a"
"6105A","K125","6,242","E","RPT","3","A","6105AK125-6242-E-RPT-0003",,"33/220 kV Power Station Substation","Power Transformer (Lot - 3) Factory Acceptance Test","Report","33/220 kV Power Station Substation - Power Transformer (Lot - 3) Factory Acceptance Test - Report","3/8/2027 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-rpt-0003_a"
"6105A","K125","6,242","E","DIA","14","A","6105AK125-6242-E-DIA-0014",,"33/220 kV Power Station Substation","Power Transformer FCP & MDU Schematics","Diagram","33/220 kV Power Station Substation - Power Transformer FCP & MDU Schematics - Diagram","5/1/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0014_a"
"6105A","K125","6,242","E","DIA","15","A","6105AK125-6242-E-DIA-0015",,"33/220 kV Power Station Substation","Power Transformer AVR/RTCC Schematics","Diagram","33/220 kV Power Station Substation - Power Transformer AVR/RTCC Schematics - Diagram","5/1/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0015_a"
"6105A","K125","6,242","E","DST","2","A","6105AK125-6242-E-DST-0002",,"33/220 kV Power Station Substation","Earthing Tranformer Technical","Data Sheet","33/220 kV Power Station Substation - Earthing Tranformer Technical - Data Sheet","5/27/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dst-0002_a"
"6105A","K125","6,242","E","DIA","16","A","6105AK125-6242-E-DIA-0016",,"33/220 kV Power Station Substation","Earthing Transformer Dimensional","Diagram","33/220 kV Power Station Substation - Earthing Transformer Dimensional - Diagram","5/27/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0016_a"
"6105A","K125","6,242","E","ITP","2","A","6105AK125-6242-E-ITP-0002",,"33/220 kV Power Station Substation","Earthing Transformer Inspection and Test","Plan","33/220 kV Power Station Substation - Earthing Transformer Inspection and Test - Plan","11/1/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-itp-0002_a"
"6105A","K125","6,242","E","RPT","4","A","6105AK125-6242-E-RPT-0004",,"33/220 kV Power Station Substation","Earthing Transformer Routine Test","Report","33/220 kV Power Station Substation - Earthing Transformer Routine Test - Report","1/31/2027 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-rpt-0004_a"
"6105A","K125","6,242","E","DST","3","A","6105AK125-6242-E-DST-0003",,"33/220 kV Power Station Substation","NGR Technical","Data Sheet","33/220 kV Power Station Substation - NGR Technical - Data Sheet","5/27/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dst-0003_a"
"6105A","K125","6,242","E","DIA","17","A","6105AK125-6242-E-DIA-0017",,"33/220 kV Power Station Substation","NGR Dimensional","Diagram","33/220 kV Power Station Substation - NGR Dimensional - Diagram","5/27/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0017_a"
"6105A","K125","6,242","E","ITP","3","A","6105AK125-6242-E-ITP-0003",,"33/220 kV Power Station Substation","NGR Inspection and Test","Plan","33/220 kV Power Station Substation - NGR Inspection and Test - Plan","9/1/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-itp-0003_a"
"6105A","K125","6,242","E","RPT","5","A","6105AK125-6242-E-RPT-0005",,"33/220 kV Power Station Substation","NGR Routine Test","Report","33/220 kV Power Station Substation - NGR Routine Test - Report","11/20/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-rpt-0005_a"
"6105A","K125","6,242","E","DST","4","A","6105AK125-6242-E-DST-0004",,"33/220 kV Power Station Substation","220kV Surge Arrester Technical","Data Sheet","33/220 kV Power Station Substation - 220kV Surge Arrester Technical - Data Sheet","4/22/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dst-0004_a"
"6105A","K125","6,242","E","DIA","18","A","6105AK125-6242-E-DIA-0018",,"33/220 kV Power Station Substation","220kV Surge Arrester Dimensional","Diagram","33/220 kV Power Station Substation - 220kV Surge Arrester Dimensional - Diagram","4/22/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0018_a"
"6105A","K125","6,242","E","ITP","4","A","6105AK125-6242-E-ITP-0004",,"33/220 kV Power Station Substation","220kV Surge Arrester Inspection and Test","Plan","33/220 kV Power Station Substation - 220kV Surge Arrester Inspection and Test - Plan","9/1/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-itp-0004_a"
"6105A","K125","6,242","E","RPT","6","A","6105AK125-6242-E-RPT-0006",,"33/220 kV Power Station Substation","220kV Surge Arrester FAT","Report","33/220 kV Power Station Substation - 220kV Surge Arrester FAT - Report","11/12/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-rpt-0006_a"
"6105A","K125","6,242","E","DST","5","A","6105AK125-6242-E-DST-0005",,"33/220 kV Power Station Substation","220kV Circuit Breaker Technical","Data Sheet","33/220 kV Power Station Substation - 220kV Circuit Breaker Technical - Data Sheet","3/30/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dst-0005_a"
"6105A","K125","6,242","E","DIA","19","A","6105AK125-6242-E-DIA-0019",,"33/220 kV Power Station Substation","220kV Circuit Breaker Outline & Schematic","Diagram","33/220 kV Power Station Substation - 220kV Circuit Breaker Outline & Schematic - Diagram","3/30/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0019_a"
"6105A","K125","6,242","E","ITP","5","A","6105AK125-6242-E-ITP-0005",,"33/220 kV Power Station Substation","220kV Circuit Breaker Inspection and Test","Plan","33/220 kV Power Station Substation - 220kV Circuit Breaker Inspection and Test - Plan","9/1/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-itp-0005_a"
"6105A","K125","6,242","E","RPT","7","A","6105AK125-6242-E-RPT-0007",,"33/220 kV Power Station Substation","220kV Circuit Breaker FAT","Report","33/220 kV Power Station Substation - 220kV Circuit Breaker FAT - Report","11/15/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-rpt-0007_a"
"6105A","K125","6,242","E","DST","6","A","6105AK125-6242-E-DST-0006",,"33/220 kV Power Station Substation","Isolator / Disconnector Technical","Data Sheet","33/220 kV Power Station Substation - Isolator / Disconnector Technical - Data Sheet","3/30/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dst-0006_a"
"6105A","K125","6,242","E","DIA","20","A","6105AK125-6242-E-DIA-0020",,"33/220 kV Power Station Substation","Isolator / Disconnector Outline & Schematics","Diagram","33/220 kV Power Station Substation - Isolator / Disconnector Outline & Schematics - Diagram","3/30/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dia-0020_a"
"6105A","K125","6,242","E","ITP","6","A","6105AK125-6242-E-ITP-0006",,"33/220 kV Power Station Substation","Isolator / Disconnector Inspection and Test","Plan","33/220 kV Power Station Substation - Isolator / Disconnector Inspection and Test - Plan","9/1/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-itp-0006_a"
"6105A","K125","6,242","E","RPT","8","A","6105AK125-6242-E-RPT-0008",,"33/220 kV Power Station Substation","Isolator / Disconnector FAT","Report","33/220 kV Power Station Substation - Isolator / Disconnector FAT - Report","11/15/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-rpt-0008_a"
"6105A","K125","6,242","E","DST","7","A","6105AK125-6242-E-DST-0007",,"33/220 kV Power Station Substation","Instrument Transformer (CT) Technical","Data Sheet","33/220 kV Power Station Substation - Instrument Transformer (CT) Technical - Data Sheet","3/25/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dst-0007_a"
"6105A","K125","6,242","E","LAY","9","A","6105AK125-6242-E-LAY-0009",,"33/220 kV Power Station Substation","Instrument Transformer (CT) Dimentional","Layout","33/220 kV Power Station Substation - Instrument Transformer (CT) Dimentional - Layout","3/25/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-lay-0009_a"
"6105A","K125","6,242","E","RPT","9","A","6105AK125-6242-E-RPT-0009",,"33/220 kV Power Station Substation","Instrument Transformer (CT) FAT","Report","33/220 kV Power Station Substation - Instrument Transformer (CT) FAT - Report","11/15/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-rpt-0009_a"
"6105A","K125","6,242","E","DST","8","A","6105AK125-6242-E-DST-0008",,"33/220 kV Power Station Substation","Instrument Transformer (VT) Technical","Data Sheet","33/220 kV Power Station Substation - Instrument Transformer (VT) Technical - Data Sheet","3/25/2026 12:00 AM",,,,"0%",,,"0",,,,,,,,,,,,,,,,,,,,"2/28/2026 6:04 PM",,"6105ak125-6242-e-dst-0008_a"
